Approved Symbol	Synonyms	Chromosome	Entrez Gene ID	Gene Family Name
SENP7		3q12	57337	SUMO specific peptidases
SENP8	NEDP1, DEN1, HsT17512	15q22.33	123228	SUMO specific peptidases
SEPHS1	SPS, SPS1	10p14	22929	
SEPHS1P1		7q11.21		
SEPHS1P2		15q26.1	100420292	
SEPHS1P3		5q35.2	100420189	
SEPHS1P4		Xq13.2	389873	
SEPHS1P6		2q33.1	729399	
SEPHS1P7		2q14.1	391428	
SEPHS2	SPS2, SPS2b	16p11.2	22928	
SEPHS2P1		5p15.2	100420190	
SEPN1	selN, RSS	1p36.13	57190	EF-hand domain containing
SEPP1	SeP, SelP, SEPP	5q31	6414	
SEPSECS	SLA/LP, SLA	4p15.2	51091	
SEPSECS-AS1		4p15.2	285540	
SEPT1	PNUTL3	16p11.2	1731	Septins
SEPT2	KIAA0158, hNedd5, Pnutl3	2q37.3	4735	Septins
SEPT2P1		1p21.1		
SEPT3		22q13.2	55964	Septins
SEPT4	H5, CE5B3, hucep-7, ARTS, hCDCREL-2, MART	17q22	5414	Septins
SEPT4-AS1		17q22	101927688	
SEPT5	HCDCREL-1, H5	22q11.2	5413	Septins
SEPT6	KIAA0128, SEP2, SEPT2, MGC16619, MGC20339	Xq24	23157	Septins
SEPT7	CDC3, SEPT7A	7p14.2	989	Septins
SEPT7-AS1		7p14.2	101928545	
SEPT7P1		14q13.2	317774	
SEPT7P2	DKFZp313J1114	7p12.3	641977	
SEPT7P3		7p14.2	646913	
SEPT7P4		7q11.21		
SEPT7P5		7q11.21		
SEPT7P6		7q36.1		
SEPT7P7		9q22.33		
SEPT7P8		19q13.42		
SEPT7P9	bA291L22.2	10p11.21	285961	
SEPT8	KIAA0202, SEP2	5q31	23176	Septins
SEPT9	MSF1, KIAA0991, PNUTL4, AF17q25, SeptD1	17q25.3	10801	Septins
SEPT10	FLJ11619	2q13	151011	Septins
SEPT10P1		8q12.1	389662	
SEPT11	FLJ10849	4q21.1	55752	Septins
SEPT12	FLJ25410	16p13.3	124404	Septins
SEPT14	FLJ44060	7p11.2	346288	Septins
SEPT14P1		7q11.21		
SEPT14P2		2q37.3		
SEPT14P3		3q29		
SEPT14P4		4q26		
SEPT14P5		5q35.3		
SEPT14P6		6p25.3		
SEPT14P7		7p12.3		
SEPT14P8		8p23.3		
SEPT14P10		10p11.1		
SEPT14P11		11p15.5		
SEPT14P12		1q31.3		
SEPT14P13		1p36.33		
SEPT14P14		1p36.33		
SEPT14P15		1q42.11		
SEPT14P16		16q24.3		
SEPT14P17		1q42.13		
SEPT14P18		1p36.33		
SEPT14P19		19p13.3		
SEPT14P20		20q13.33		
SEPT14P21		1q43		
SEPT14P22		Yq11.23		
SEPT14P23		Yq11.23		
SEPT14P24		7p11.2		
SEPW1	selW	19q13.33	6415	
SEPW1P		1p35.2	23679	
SERAC1	FLJ14917	6q25.3	84947	
SERBP1	PAI-RBP1, DKFZP564M2423, CGI-55, HABP4L, PAIRBP1, CHD3IP	1p31	26135	
SERBP1P1		Xq13.1	389866	
SERBP1P2		Yp11.2	359996	
SERBP1P3		3p21.1	553148	
SERBP1P4		Xq21.31	100132591	
SERBP1P5		4q21.21	442112	
SERBP1P6		5p13.1	100420450	
SERF1A	H4F5, 4F5, FAM2A, SMAM1	5q13	8293	
SERF1AP1		4q28.3	100131921	
SERF1B	FAM2B, H4F5C	5q13	728492	
SERF2	H4F5rel, 4F5REL, FAM2C, HsT17089	15q15.1	10169	
SERGEF	DelGEF, Gnefr	11p14.3	26297	
SERHL	HS126B42, BK126B4.1, dJ222E13.1	22q13.2	94009	
SERHL2		22q13	253190	
SERINC1	TMS-2, TDE1L, KIAA1253	6q22.32	57515	
SERINC2	FKSG84, PRO0899, TDE2	1p35.1	347735	
SERINC3	DIFF33, TDE, SBBI99, TMS-1, AIGP1	20q13.12	10955	
SERINC4	FLJ40363	15q15.3	619189	
SERINC5	TPO1	5q14.1	256987	
SERP1	RAMP4, FLJ43424	3q25.1	27230	
SERP2	bA269C23.1	13q14.11	387923	
SERPINA1	AAT, A1A, PI1, alpha-1-antitrypsin, A1AT, alpha1AT	14q32.1	5265	Serpin peptidase inhibitors
SERPINA2	ATR, ARGS	14q32.13	390502	Serpin peptidase inhibitors
SERPINA3	ACT, alpha-1-antichymotrypsin	14q32.1	12	Serpin peptidase inhibitors
SERPINA4	KST, KAL, KLST, kallistatin	14q32.13	5267	Serpin peptidase inhibitors
SERPINA5	PAI3, PROCI	14q32.1	5104	Serpin peptidase inhibitors
SERPINA6		14q32.13	866	Serpin peptidase inhibitors
SERPINA7		Xq21-q22	6906	Serpin peptidase inhibitors
SERPINA7P1		Xq22.3	100422644	
SERPINA9	CENTERIN, SERPINA11b, GCET1	14q32.1	327657	Serpin peptidase inhibitors
SERPINA10	PZI, ZPI	14q32.13	51156	Serpin peptidase inhibitors
SERPINA11		14q32.13	256394	Serpin peptidase inhibitors
SERPINA12	OL-64, Vaspin	14q32.13	145264	Serpin peptidase inhibitors
SERPINA13P	UNQ6121	14q32.13	388007	Serpin peptidase inhibitors
SERPINA15P		8q23.3	101930744	
SERPINB1	EI, PI2, anti-elastase	6p25.2	1992	Serpin peptidase inhibitors
SERPINB2	HsT1201	18q21.3	5055	Serpin peptidase inhibitors
SERPINB3	T4-A, HsT1196	18q21.3	6317	Serpin peptidase inhibitors
SERPINB4	PI11, LEUPIN, SCCA-2, SCCA1	18q21.33	6318	Serpin peptidase inhibitors
SERPINB5	maspin	18q21.33	5268	Serpin peptidase inhibitors
SERPINB6	PTI, CAP	6p25.2	5269	Serpin peptidase inhibitors
SERPINB7	MEGSIN	18q21.33	8710	Serpin peptidase inhibitors
SERPINB8	CAP2	18q22.1	5271	Serpin peptidase inhibitors
SERPINB8P1		6p25.2	11029	
SERPINB9	CAP3	6p25.2	5272	Serpin peptidase inhibitors
SERPINB9P1	MGC39372	6p25.2	221756	
SERPINB10	bomapin	18q21.3	5273	Serpin peptidase inhibitors
SERPINB11	EPIPIN	18q21.33	89778	Serpin peptidase inhibitors
SERPINB12	YUKOPIN	18q21.33	89777	Serpin peptidase inhibitors
SERPINB13	HUR7, hurpin, headpin	18q21.33	5275	Serpin peptidase inhibitors
SERPINC1	ATIII, MGC22579	1q25.1	462	Serpin peptidase inhibitors
SERPIND1	HC-II, HLS2, HC2, D22S673	22q11.21	3053	Serpin peptidase inhibitors
SERPINE1	PAI	7q22.1	5054	Serpin peptidase inhibitors
SERPINE2	PN1, GDN, PNI, nexin	2q36.1	5270	Serpin peptidase inhibitors
SERPINE3		13q14.3	647174	Serpin peptidase inhibitors
SERPINE4P		15q12	101930745	
SERPINF1	EPC-1, PIG35	17p13.3	5176	Serpin peptidase inhibitors
SERPINF2	API, ALPHA-2-PI, A2AP, AAP	17p13.3	5345	Serpin peptidase inhibitors
SERPING1	C1IN, C1-INH, HAE1, HAE2	11q12.1	710	Serpin peptidase inhibitors
SERPINH1	HSP47, colligen	11q13.5	871	Serpin peptidase inhibitors
SERPINH1P1	bA571F15.6, pshsp47	9p13.3	158172	
SERPINI1	neuroserpin	3q26.1	5274	Serpin peptidase inhibitors
SERPINI2	PANCPIN, TSA2004, MEPI, pancpin	3q26.1	5276	Serpin peptidase inhibitors
SERTAD1	SEI1, TRIP-Br1	19q13.1-q13.2	29950	
SERTAD2	TRIP-Br2, KIAA0127, Sei-2	2p15	9792	
SERTAD3	RBT1	19q13.2	29946	
SERTAD4	DJ667H12.2	1q32.1-q41	56256	
SERTAD4-AS1		1q32.2	574036	
SERTM1		13q13.3	400120	
SESN1	SEST1, PA26	6q21	27244	
SESN2	SES2, DKFZp761M0212, HI95, SEST2	1p35.2	83667	
SESN3	SEST3, MGC29667	11q21	143686	
SESTD1	DKFZp434O0515, Solo	2q31.3	91404	
SET	PHAPII, 2PP2A, IPP2A2	9q34	6418	
SETBP1	SEB, KIAA0437	18q21.1	26040	
SETD1A	KIAA0339, Set1, KMT2F	16p11.2	9739	Lysine (K)-specific methyltransferases|RNA binding motif containing
SETD1B	KIAA1076, Set1B, KMT2G	12q24.31	23067	Lysine (K)-specific methyltransferases|RNA binding motif containing
SETD2	HYPB, HIF-1, KIAA1732, FLJ23184, KMT3A	3p21.31	29072	Lysine (K)-specific methyltransferases
SETD3	FLJ23027	14q32.2	84193	
SETD4		21q22.13	54093	
SETD5	FLJ10707	3p25.3	55209	
SETD6	FLJ21148	16q21	79918	
SETD6P1		2q12.3		
SETD7	KIAA1717, SET7, SET7/9, Set9, KMT7	4q31.1	80854	Lysine (K)-specific methyltransferases
SETD8P1	SET07p	13q11	57108	
SETD9	MGC33648	5q11.2	133383	
SETDB1	KG1T, KIAA0067, ESET, KMT1E, TDRD21	1q21	9869	methyl-CpG binding domain containing|Lysine (K)-specific methyltransferases|Tudor domain containing
SETDB2	CLLD8, CLLL8, KMT1F	13q14	83852	methyl-CpG binding domain containing|Lysine (K)-specific methyltransferases
SETMAR	metnase	3p26.2	6419	
SETP1	SETP	14q11.2	100133314	
SETP2		14q22.1	326277	
SETP3		17q22	619349	
SETP4		Xq21.1	642869	
SETP5		9q34.3	100130014	
SETP6		3p12.2	100419178	
SETP7		12q23.3		
SETP8		Xq23	100128536	
SETP9		1q23.3	100129738	
SETP10		1q25.2	100287822	
SETP11		3q25.1	100419187	
SETP12		4q27	100419158	
SETP14		3q25.31	389168	
SETP15		Xp22.2		
SETP16		11q23.3	649925	
SETP17		11q14.2	100130043	
SETP20		4q25	389217	
SETP21		5q12.1		
SETP22		5q15	642737	
SETSIP		1p22.1	646817	
SETX	KIAA0625, AOA2	9q34	23064	UPF1 like RNA helicases
SEZ6		17q11.2	124925	Sushi domain containing
SEZ6L		22q12.1	23544	Sushi domain containing
SEZ6L2	PSK-1, FLJ90517	16p12.1	26470	Sushi domain containing
SF1	ZFM1, ZCCHC25	11q13	7536	Zinc fingers, CCHC-type
SF3A1	SF3a120, SAP114, PRPF21, Prp21	22q12.2	10291	
SF3A2	SF3a66, SAP62, PRPF11, Prp11	19p13.3	8175	
SF3A3	SF3a60, SAP61, PRP9, PRPF9	1p34.3	10946	
SF3A3P1	dJ581P3.1	20p13	170548	
SF3A3P2		11q24.1	449645	
SF3B1	SAP155, SF3b155, PRPF10, Prp10, Hsh155	2q33.1	23451	
SF3B2	SAP145, SF3b1, Cus1, SF3b145	11q13	10992	
SF3B3	SAP130, SF3b130, RSE1, KIAA0017	16q22	23450	
SF3B4	SAP49, SF3b49, Hsh49	1q21.2	10262	RNA binding motif containing
SF3B4P1		14q23	326276	
SF3B5	SF3b10, MGC3133, Ysf3	6q24.1	83443	
SF3B6	P14, SF3B14a, Ht006, CGI-110, SAP14a	2p23	51639	
SFI1	KIAA0542, PISD, PPP1R139	22q12.2	9814	Protein phosphatase 1 regulatory subunits
SFMBT1	RU1, DKFZp434L243, SFMBT	3p21.31	51460	Sterile alpha motif (SAM) domain containing
SFMBT2	KIAA1617	10p15.1	57713	Sterile alpha motif (SAM) domain containing
SFN	YWHAS	1p36.11	2810	14-3-3 phospho-serine/phospho-threonine binding proteins
SFPQ	PSF, PPP1R140	1p34.3	6421	Protein phosphatase 1 regulatory subunits|RNA binding motif containing
SFPQP1		Yq11.221	23758	
SFR1	MEI5, bA373N18.1, FLJ41960	10q25.1	119392	
SFR1P1		Xq24	100130090	
SFR1P2		Xq21.2	730792	
SFRP1	SARP2, FRP, FRP-1	8p11.21	6422	Secreted frizzled-related proteins
SFRP2	SARP1, SDF-5, FRP-2	4q31.3	6423	Secreted frizzled-related proteins
SFRP4	frpHE, FRP-4, FRPHE	7p14.1	6424	Secreted frizzled-related proteins
SFRP5	SARP3	10q24	6425	Secreted frizzled-related proteins
SFSWAP	SWAP	12q24.33	6433	
SFT2D1	MGC19825, pRGR1	6q27	113402	
SFT2D2	UNQ512, dJ747L4.C1.2	1q24.2	375035	
SFT2D3	MGC5391	2q14.3	84826	
SFTA1P		10p14	207107	
SFTA2		6p21.3	389376	
SFTA3	NANCI	14q13.3	253970	
SFTPA1	SP-A, SP-A1, COLEC4	10q22.3	653509	Collectins
SFTPA2	SP-A2, COLEC5	10q22.3	729238	Collectins
SFTPA3P	COLEC6	10q22.3	100288405	Collectins
SFTPB	SP-B	2p12-p11.2	6439	
SFTPC	SP-C, PSP-C, SMDP2, BRICD6	8p21	6440	BRICHOS domain containing
SFTPD	SP-D, COLEC7	10q22.2-q23.1	6441	Collectins
SFTPD-AS1		10q22.3		
SFXN1	FLJ12876	5q35.3	94081	Sideroflexins
SFXN2		10q24.32	118980	Sideroflexins
SFXN3	SFX3	10q24.32	81855	Sideroflexins
SFXN4		10q26.11	119559	Sideroflexins
SFXN5	BBG-TCC	2p13	94097	Sideroflexins
SGCA	SCARMD1, LGMD2D, adhalin, DMDA2, A2	17q21	6442	
SGCB	SGC, A3b	4q12	6443	
SGCD	DAGD, LGMD2F, CMD1L	5q33.3	6444	
SGCE		7q21.3	8910	
SGCG	SCARMD2, DAGA4, SCG3, DMDA, TYPE, A4, MGC130048	13q12-q13	6445	
SGCZ	ZSG1	8p22	137868	
SGF29	FLJ32446, TDRD29	16p11.2	112869	Tudor domain containing|ATAC complex|SAGA complex
SGIP1	DKFZp761D221	1p31.3	84251	
SGK1		6q23	6446	
SGK2		20q13.2	10110	
SGK3		8q12	23678	
SGMS1	MOB, MGC17342, SMS1	10q11.2	259230	Sterile alpha motif (SAM) domain containing
SGMS1-AS1		10q11.23		
SGMS2	MGC26963, SMS2	4q25	166929	
SGOL1	NY-BR-85	3p24.3	151648	
SGOL1-AS1		3p24.3		
SGOL1P1		1p31.1	100533666	
SGOL1P2		7p12.1	100533661	
SGOL2	TRIPIN, FLJ25211	2q33.2	151246	
SGPL1	SPL	10q21	8879	
SGPP1		14q23.1	81537	Sphingosine-1-phosphate phosphatases
SGPP2	SPP2, FLJ39004	2q36.3	130367	Sphingosine-1-phosphate phosphatases
SGSH	HSS, MPS3A, SFMD	17q25.3	6448	Sulfatases
SGSM1	KIAA1941	22q11.23	129049	Small G protein signaling modulators
SGSM2	KIAA0397	17p13.3	9905	Small G protein signaling modulators
SGSM3	DJ1042K10.2, RUSC3, RabGAP-5, RABGAP5	22q13.1-q13.2	27352	Small G protein signaling modulators
SGTA		19p13	6449	Tetratricopeptide repeat domain containing
SGTB	Sgt2, FLJ39002	5q12.3	54557	Tetratricopeptide repeat domain containing
SH2B1	FLJ30542, SH2B	16p11.2	25970	Pleckstrin homology domain containing|SH2 domain containing
SH2B2	APS	7q22.1	10603	Pleckstrin homology domain containing|SH2 domain containing
SH2B3	LNK, IDDM20	12q24.12	10019	Pleckstrin homology domain containing|SH2 domain containing
SH2D1A	XLP, MTCP1, DSHP, XLPD, EBVS, SAP	Xq25	4068	SH2 domain containing
SH2D1B	EAT2	1q23.3	117157	SH2 domain containing
SH2D2A	TSAd, F2771	1q21	9047	SH2 domain containing
SH2D3A	NSP1	19p13.3	10045	SH2 domain containing
SH2D3C	NSP3	9q33.1-q33.3	10044	SH2 domain containing
SH2D4A	FLJ20967, SH2A, PPP1R38	8p21	63898	SH2 domain containing|Protein phosphatase 1 regulatory subunits
SH2D4B		10q23.1	387694	SH2 domain containing
SH2D5		1p36.12	400745	
SH2D6	FLJ35993	2p11.2	284948	SH2 domain containing
SH2D7	LOC646892	15q25.1	646892	SH2 domain containing
SH3BGR	21-GARP	21q22.3	6450	
SH3BGRL	MGC117402	Xq13.3	6451	
SH3BGRL2		6q14.1	83699	
SH3BGRL3		1p36.11	83442	
SH3BP1	ARHGAP43	22q13.1	23616	Rho GTPase activating proteins
SH3BP2	RES4-23, CRBM	4p16.3	6452	Pleckstrin homology domain containing|SH2 domain containing
SH3BP4		2q37.1-q37.2	23677	
SH3BP5	Sab	3p24.3	9467	
SH3BP5-AS1		3p25.1	100505696	
SH3BP5L	KIAA1720	1q44	80851	
SH3D19	DKFZp434D0215, EVE1, EBP, Kryn, SH3P19	4q31.3	152503	
SH3D21	FLJ22938	1p34.3	79729	
SH3GL1	SH3P8, SH3D2B, CNSA1, EEN, MGC111371	19p13.3	6455	
SH3GL1P1	CNSA-P1	17q11.2	6458	
SH3GL1P2	CNSA-P2	17q11.2	6459	
SH3GL1P3	CNSA-P3	17q24.2	727736	
SH3GL2	SH3P4, SH3D2A, CNSA2, EEN-B1	9p22	6456	
SH3GL3	SH3D2C, SH3P13, CNSA3, EEN-B2, HsT19371	15q24	6457	
SH3GLB1	CGI-61, KIAA0491, Bif-1, PPP1R70	1p22.3	51100	Protein phosphatase 1 regulatory subunits
SH3GLB2	KIAA1848	9q34	56904	
SH3KBP1	CIN85	Xp22.1-p21.3	30011	
SH3PXD2A	FISH, KIAA0418	10q25.1	9644	
SH3PXD2A-AS1		10q24.33	100505839	
SH3PXD2B	FLJ20831	5q35.2	285590	
SH3RF1	POSH, RNF142, KIAA1494	4q32.3	57630	Ring finger proteins
SH3RF2	FLJ23654, RNF158, Hepp1, POSHER	5q32	153769	Ring finger proteins|Protein phosphatase 1 regulatory subunits
SH3RF3	FLJ00204, POSH2	2q13	344558	Ring finger proteins
SH3RF3-AS1		2q12.3	100287216	
SH3TC1	FLJ20356	4p16.1	54436	Tetratricopeptide repeat domain containing
SH3TC2	KIAA1985, CMT4C	5q32	79628	Tetratricopeptide repeat domain containing
SH3YL1	Ray, DKFZP586F1318	2p25.3	26751	
SHANK1	SSTRIP, SPANK-1, synamon	19q13.3	50944	Ankyrin repeat domain containing|Sterile alpha motif (SAM) domain containing
SHANK2	CTTNBP1, ProSAP1, SHANK, SPANK-3	11q13.2	22941	Ankyrin repeat domain containing|Sterile alpha motif (SAM) domain containing
SHANK2-AS1		11q13.4		
SHANK2-AS2		11q13.4		
SHANK2-AS3		11q13.4	220070	
SHANK3	SPANK-2, prosap2, KIAA1650, PSAP2	22q13.3	85358	Ankyrin repeat domain containing|Sterile alpha motif (SAM) domain containing
SHARPIN	DKFZP434N1923, SIPL1	8q24.3	81858	Zinc fingers, RAN binding-type
SHB		9p13.2	6461	SH2 domain containing
SHBG	ABP, TEBG, MGC126834, MGC138391	17p13.1	6462	
SHC1	p66, ShcA	1q21	6464	SH2 domain containing
SHC1P1		Xq11.1	6465	
SHC1P2		17q21-q22	6466	
SHC2	SLI, SCK, SHCB	19p13.3	25759	SH2 domain containing
SHC3	N-Shc, NSHC, SHCC	9q22.1	53358	SH2 domain containing
SHC4	RaLP	15q21.1-q21.2	399694	SH2 domain containing
SHCBP1	FLJ22009, PAL	16q11	79801	
SHCBP1L		1q25	81626	
SHD		19p13.3	56961	SH2 domain containing
SHE		1q21.3	126669	SH2 domain containing
SHF		15q21.1	90525	SH2 domain containing
SHFM1	DSS1, Shfdg1, ECD, SEM1, SHSF1	7q21.3	7979	
SHFM1P1	DSS1P1	5q14.1	153842	
SHFM2	SHSF2	Xq26		
SHFM5		2q31		
SHH	HHG1, SMMCI, TPT, TPTPS, MCOPCB5	7q36	6469	
SHISA2	bA398O19.2, PRO28631, WGAR9166, hShisa	13q12.13	387914	Shisa family members
SHISA3	hShisa3	4p13	152573	Shisa family members
SHISA4	hShisa4	1q32.1	149345	Shisa family members
SHISA5	SCOTIN, hShisa5	3p21.31	51246	Shisa family members
SHISA6	FLJ45455	17p13.1-p12	388336	Shisa family members
SHISA7		19q13.42	729956	Shisa family members
SHISA8	Orf26	22q13.2	440829	Shisa family members
SHISA9		16p13.12	729993	Shisa family members
SHKBP1	PP203, Sb1	19q13.2	92799	WD repeat domain containing
SHMT1	CSHMT, SHMT, MGC15229, MGC24556	17p11.2	6470	
SHMT1P1		1p34	6471	
SHMT2		12q12-q14	6472	
SHOC2	KIAA0862, SOC2, SUR-8, SOC-2, SUR8	10q25	8036	
SHOX	PHOG, GCFX, SS, SHOXY	Xp22.33 and Yp11.32	6473	PRD class homeoboxes and pseudogenes|Pseudoautosomal region 1
SHOX2	SHOT, OG12X, OG12	3q25.32	6474	PRD class homeoboxes and pseudogenes
SHPK	SHK	17p13	23729	
SHPRH	FLJ90837, KIAA2023, bA545I5.2	6q24.2	257218	PHD finger proteins|Ring finger proteins
SHQ1	FLJ10539, Shq1p	3p13	55164	
SHQ1P1		10q11.23	644451	
SHROOM1	APXL2, KIAA1960	5q31.1	134549	
SHROOM2		Xp22.3	357	
SHROOM2P1		Yq11.21	10031	
SHROOM3	ShrmL, SHRM, KIAA1481, APXL3	4q21.1	57619	
SHROOM4	KIAA1202	Xp11.22	57477	
SHTN1	shootin1, shootin-1	10q26.12	57698	
SI		3q25.2-q26.2	6476	
SIAE	CSE-C, MGC87009, LSE	11q24	54414	
SIAH1	hSIAH1	16q12.1	6477	
SIAH1P1		Xp21.1	340571	
SIAH2		3q25	6478	
SIAH2-AS1		3q25.1		
SIAH3	FLJ39203	13q14.12	283514	
SIDT1	FLJ20174, SID-1	3q13.31	54847	
SIDT1-AS1		3q13.2		
SIDT2	CGI-40	11q23.3	51092	
SIGIRR	TIR8	11p15.5	59307	Immunoglobulin-like domain containing
SIGLEC1	SIGLEC-1, CD169, FLJ00051, FLJ00055, FLJ00073, FLJ32150, dJ1009E24.1, sialoadhesin	20p13	6614	C2-set domain containing|I-set domain containing|CD molecules|Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC5	OB-BP2, SIGLEC-5, CD170	19q13.41	8778	CD molecules|Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC6	OB-BP1, SIGLEC-6, CD327	19q13.3	946	I-set domain containing|CD molecules|Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC7	SIGLEC-7, p75/AIRM1, QA79, CD328	19q13.41	27036	CD molecules|Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC8	SIGLEC-8, SAF2, SIGLEC8L, MGC59785	19q13.33-q13.41	27181	Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC9	CD329	19q13.3-q13.4	27180	CD molecules|Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC10	SIGLEC-10, SLG2, PRO940, MGC126774	19q13.3	89790	C2-set domain containing|Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC11		19q13.3	114132	C2-set domain containing|I-set domain containing|Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC12	SLG, S2V, Siglec-XII, Siglec-12, Siglec-L1	19q13.41	89858	C2-set domain containing|I-set domain containing|Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC14		19q13.41	100049587	Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC15	HsT1361	18q21.1	284266	Sialic acid binding Ig like lectins|V-set domain containing|Immunoglobulin-like domain containing
SIGLEC16	Siglec-P16	19q13.33	400709	C2-set domain containing|I-set domain containing|Sialic acid binding Ig like lectins|V-set domain containing
SIGLEC17P		19q13.41	284367	Sialic acid binding Ig like lectins
SIGLEC18P		19q13.41	114184	Sialic acid binding Ig like lectins
SIGLEC20P		19q13.41	114192	Sialic acid binding Ig like lectins
SIGLEC21P		19q13.41	114194	Sialic acid binding Ig like lectins
SIGLEC22P		19q13.41	114195	Sialic acid binding Ig like lectins
SIGLEC24P		19q13.41	114196	Sialic acid binding Ig like lectins
SIGLEC25P		19q13.41	114198	Sialic acid binding Ig like lectins
SIGLEC26P		19q13.41	114185	Sialic acid binding Ig like lectins
SIGLEC27P		19q13.41	114186	Sialic acid binding Ig like lectins
SIGLEC28P		19q13.41	114187	Sialic acid binding Ig like lectins
SIGLEC29P		19q13.41	114188	Sialic acid binding Ig like lectins
SIGLEC30P		1q24.2	114190	Sialic acid binding Ig like lectins
SIGLEC31P		19q13.43	114189	Sialic acid binding Ig like lectins
SIGLECL1	FLJ40235	19q13.33	284369	
SIGMAR1	SR-BP1	9p13.3	10280	
SIK1	msk	21q22.3	150094	
SIK2	KIAA0781, QIK, DKFZp434K1115, LOH11CR1I	11q23.1	23235	
SIK3	FLJ12240, L19, KIAA0999, QSK	11q23.3	23387	
SIK3-IT1		11q23.3		
SIKE1	FLJ21168, SIKE	1p13.1	80143	
SIL1	BAP, ULG5	5q31	64374	
SIM1	bHLHe14	6q16.3	6492	Basic helix-loop-helix proteins
SIM2	MGC119447, bHLHe15	21q22.2	6493	Basic helix-loop-helix proteins
SIMC1	FLJ44216, OOMA1, PLEIAD	5q35.2	375484	
SIN3A	KIAA0700, DKFZP434K2235	15q22.33	25942	
SIN3B	KIAA0700	19p13.12	23309	
SIPA1	SPA1	11q13.3	6494	
SIPA1L1	KIAA0440, E6TP1	14q24.1	26037	
SIPA1L2	KIAA1389	1q42.2	57568	
SIPA1L3	KIAA0545	19q13.13	23094	
SIRPA	SHPS1, SIRP, MYD-1, BIT, P84, SHPS-1, SIRPalpha, CD172a, SIRPalpha2, MFR, SIRP-ALPHA-1	20p13	140885	C1-set domain containing|CD molecules|Signal-regulatory proteins|V-set domain containing
SIRPAP1	SIRPA2P	22q12.2	23755	
SIRPB1	SIRP-BETA-1, CD172b	20p13	10326	C1-set domain containing|CD molecules|Signal-regulatory proteins|V-set domain containing
SIRPB2	dJ776F14.2	20p13	284759	Signal-regulatory proteins|V-set domain containing
SIRPB3P		20p13	100652885	Signal-regulatory proteins
SIRPD	dJ576H24.4	20p13	128646	Signal-regulatory proteins|V-set domain containing
SIRPG	bA77C3.1, SIRP-B2, SIRPgamma, CD172g	20p13	55423	C1-set domain containing|CD molecules|Signal-regulatory proteins|V-set domain containing
SIRPG-AS1		20p13	101929010	
SIRT1	SIR2L1	10q21	23411	Sirtuins
SIRT1-AS		10q21.3		
SIRT2		19q13	22933	Sirtuins
SIRT3	SIR2L3	11p15.5	23410	Sirtuins
SIRT4	SIR2L4	12q24.31	23409	Sirtuins
SIRT5		6p23	23408	Sirtuins
SIRT6		19p13.3	51548	Sirtuins
SIRT7		17q25.3	51547	Sirtuins
SIT1	SIT	9p13-p12	27240	
SIVA1	SIVA, Siva-1, Siva-2, CD27BP	14q32.33	10572	
SIX1		14q23.1	6495	SINE class homeoboxes
SIX2		2p21	10736	SINE class homeoboxes
SIX3		2p21	6496	SINE class homeoboxes
SIX3-AS1		2p21	100506108	
SIX4	AREC3	14q23.1	51804	SINE class homeoboxes
SIX5		19q13.32	147912	SINE class homeoboxes
SIX6	Six9	14q23.1	4990	SINE class homeoboxes
SKA1	MGC10200	18q21.1	220134	
SKA2	FLJ12758	17q23.2	348235	
SKA2P1	Em:AC006313.1	9q33.2	729012	
SKA3	MGC4832, RAMA1	13q11	221150	
SKAP1	SKAP55	17q21.32	8631	Pleckstrin homology domain containing
SKAP2	RA70, SKAP-HOM, SKAP55R, SAPS	7p15.2	8935	Pleckstrin homology domain containing
SKI		1p36.33	6497	SKI transcriptional corepressors
SKIDA1	FLJ45187	10p12.31	387640	
SKIL	SNO, SnoN, SnoA	3q26	6498	SKI transcriptional corepressors
SKINT1L	BTN12	1p33	391037	Butyrophilins
SKIV2L	HLP, DDX13, SKI2W, 170A, SKIV2L1	6p21	6499	RNA helicases
SKIV2L2	Mtr4, Dob1, fSAP118	5q11.2	23517	RNA helicases
SKOR1	CORL1, FUSSEL15	15q23	390598	SKI transcriptional corepressors
SKOR2	CORL2, FUSSEL18, Fussel-18	18q21.1	652991	SKI transcriptional corepressors
SKP1	EMC19, OCP2, TCEB1L, MGC34403, OCP-II, p19A	5q31	6500	SCF complex
SKP1P1	EMC19	7q11.21	6922	
SKP1P2	p19B	12p12.3	728622	
SKP1P3		9p12	100101119	
SKP2	FBXL1, FBL1, p45	5p13	6502	F-box and leucine-rich repeat proteins
SLA	SLA1	8q24.22	6503	SH2 domain containing
